Patronus,Sixth Question Set,Seventh Question Set
Abraxan Winged Horse,Sharp/Deep/Awake/Frost/Ripple/Hunt,Legend/Glory/Impossible/Bewitch/Jinx
Dragon,Sharp/Deep/Awake/Frost/Ripple/Hunt,Legend/Glory/Impossible/Bewitch/Jinx
Erumpent,Sharp/Deep/Awake/Frost/Ripple/Hunt,Legend/Glory/Impossible/Bewitch/Jinx
Fire-dwelling Salamander,Sharp/Deep/Awake/Frost/Ripple/Hunt,Myth/Serenity/Eternal/Enchant/Charm
Granian Winged Horse,Sharp/Deep/Awake/Frost/Ripple/Hunt,Myth/Serenity/Eternal/Enchant/Charm
Hippogriff,Sharp/Deep/Awake/Frost/Ripple/Hunt,Legend/Glory/Impossible/Bewitch/Jinx
Occamy,Sharp/Deep/Awake/Frost/Ripple/Hunt,Myth/Serenity/Eternal/Enchant/Charm
Runespoor,Sharp/Deep/Awake/Frost/Ripple/Hunt,Legend/Glory/Impossible/Bewitch/Jinx
Thestral,Sharp/Deep/Awake/Frost/Ripple/Hunt,Myth/Serenity/Eternal/Enchant/Charm
Unicorn,Sharp/Deep/Awake/Frost/Ripple/Hunt,Myth/Serenity/Eternal/Enchant/Charm