Patronus,Sixth Question Set
Bat,Sleek/High/Asleep/Dew/Wave/Create
Black Bear/Rhinoceros,Sharp/Deep/Awake/Frost/Ripple/Hunt
Brown Owl,Sharp/Deep/Awake/Frost/Ripple/Hunt
Buffalo,Sleek/High/Asleep/Dew/Wave/Create
Cheetah/Python,Sharp/Deep/Awake/Frost/Ripple/Hunt
Doe/Stag,Sharp/Deep/Awake/Frost/Ripple/Hunt
Eagle Owl,Sharp/Deep/Awake/Frost/Ripple/Hunt
Elephant/Polar Bear,Sleek/High/Asleep/Dew/Wave/Create
Great Grey Owl,Sharp/Deep/Awake/Frost/Ripple/Hunt
Hyena,Sleek/High/Asleep/Dew/Wave/Create
Impala/Vulture,Sleek/High/Asleep/Dew/Wave/Create
King Cobra,Sleek/High/Asleep/Dew/Wave/Create
Leopard/Leopardess/Shark,Sharp/Deep/Awake/Frost/Ripple/Hunt
Lion/Lioness/Seal,Sleek/High/Asleep/Dew/Wave/Create
Little Owl,Sleek/High/Asleep/Dew/Wave/Create
Lynx,Sleek/High/Asleep/Dew/Wave/Create
Orca,Sleek/High/Asleep/Dew/Wave/Create
Oryx,Sharp/Deep/Awake/Frost/Ripple/Hunt
Peacock,Sleek/High/Asleep/Dew/Wave/Create
Polar Bear/Elephant,Sleek/High/Asleep/Dew/Wave/Create
Python/Cheetah,Sharp/Deep/Awake/Frost/Ripple/Hunt
Raven,Sharp/Deep/Awake/Frost/Ripple/Hunt
Rhinoceros/Black Bear,Sharp/Deep/Awake/Frost/Ripple/Hunt
Scops Owl,Sleek/High/Asleep/Dew/Wave/Create
Seal/Lion/Lioness,Sleek/High/Asleep/Dew/Wave/Create
Shark/Leopard/Leopardess,Sharp/Deep/Awake/Frost/Ripple/Hunt
Snowy Owl,Sleek/High/Asleep/Dew/Wave/Create
Stag/Doe,Sharp/Deep/Awake/Frost/Ripple/Hunt
Tiger/Tigress,Sleek/High/Asleep/Dew/Wave/Create
Vulture/Impala,Sleek/High/Asleep/Dew/Wave/Create